,Player,Team,TW,TL,Age,Salary,PTS,GP,FG%,3P%,FT%,REB,AST,STL,BLK,DD2,TD3
344,Nikola Jovic,MIA,44,38,20.0,2239920.0,5.5,15.0,40.6,22.9,94.7,2.1,0.7,0.5,0.1,0.0,0.0
345,Jamal Cain,MIA,44,38,24.0,508891.0,5.4,18.0,56.1,35.0,77.3,2.9,0.7,0.6,0.1,0.0,0.0
346,Bryce McGowens,CHA,27,55,20.0,1461055.0,5.3,46.0,39.6,32.5,75.0,2.0,1.2,0.3,0.1,0.0,0.0
347,Lamar Stevens,CLE,51,31,25.0,1782621.0,5.3,62.0,44.8,31.6,70.2,3.3,0.5,0.4,0.3,1.0,0.0
348,Dewayne Dedmon,PHI,54,28,33.0,8283688.0,5.2,38.0,51.0,30.8,67.3,3.5,0.7,0.2,0.5,0.0,0.0
349,Rudy Gay,UTA,37,45,36.0,6184500.0,5.2,56.0,37.8,25.2,85.7,2.9,1.0,0.3,0.3,0.0,0.0
350,Zeke Nnaji,DEN,53,29,22.0,2617800.0,5.2,53.0,56.1,26.2,64.5,2.6,0.3,0.3,0.4,1.0,0.0
351,Lindy Waters III,OKC,40,42,25.0,2316876.0,5.2,41.0,39.3,35.8,80.0,1.8,0.7,0.3,0.3,0.0,0.0
352,Darius Bazley,PHX,45,37,23.0,4264628.0,5.2,43.0,45.4,37.7,54.3,3.2,0.9,0.5,0.8,0.0,0.0
353,Ricky Rubio,CLE,51,31,32.0,5853659.0,5.2,33.0,34.3,25.6,80.0,2.1,3.5,0.8,0.2,0.0,0.0
354,Javonte Green,CHI,40,42,29.0,1815677.0,5.2,32.0,56.5,37.1,66.7,2.8,0.7,0.8,0.7,0.0,0.0
355,MarJon Beauchamp,MIL,58,24,22.0,2485200.0,5.1,52.0,39.5,33.1,73.0,2.2,0.7,0.4,0.1,0.0,0.0
356,DeAndre Jordan,DEN,53,29,34.0,10733758.0,5.1,39.0,76.5,100.0,45.8,5.2,0.9,0.3,0.6,2.0,0.0
357,John Konchar,MEM,51,31,27.0,2300000.0,5.1,72.0,43.1,33.9,77.8,4.3,1.4,1.1,0.3,2.0,0.0
358,George Hill,IND,35,47,37.0,4000000.0,5.0,46.0,47.0,35.8,76.4,1.8,2.4,0.6,0.1,0.0,0.0
359,Cody Martin,CHA,27,55,27.0,7000000.0,5.0,7.0,38.9,21.4,57.1,3.4,1.6,0.6,0.1,0.0,0.0
360,Jonathan Isaac,ORL,34,48,25.0,17400000.0,5.0,11.0,41.5,40.0,55.6,4.0,0.5,1.3,0.4,0.0,0.0
361,Kenneth Lofton Jr.,MEM,51,31,20.0,,5.0,24.0,52.7,35.3,59.3,2.1,0.8,0.2,0.1,1.0,0.0
362,Sam Merrill,CLE,51,31,27.0,1105522.0,5.0,5.0,40.9,27.8,100.0,1.8,1.0,0.8,0.0,0.0,0.0
363,Derrick Jones Jr.,CHI,40,42,26.0,,5.0,64.0,50.0,33.8,73.8,2.4,0.5,0.5,0.6,0.0,0.0
364,Blake Wesley,SAS,22,60,20.0,2385480.0,5.0,37.0,32.1,38.5,59.1,2.2,2.6,0.7,0.1,0.0,0.0
365,Jaxson Hayes,NOP,42,40,23.0,6803012.0,5.0,47.0,55.1,10.3,69.9,2.8,0.7,0.4,0.4,0.0,0.0
366,Isaiah Hartenstein,NYK,47,35,25.0,8854879.0,5.0,82.0,53.5,21.6,67.6,6.5,1.2,0.6,0.8,2.0,0.0
367,Vlatko Cancar,DEN,53,29,26.0,2234359.0,5.0,60.0,47.6,37.4,92.7,2.1,1.3,0.4,0.2,1.0,0.0
368,Ousmane Dieng,OKC,40,42,20.0,4569840.0,4.9,39.0,42.0,26.5,65.2,2.7,1.2,0.4,0.2,0.0,0.0
369,Austin Rivers,MIN,42,40,30.0,2905851.0,4.9,52.0,43.5,35.0,76.9,1.6,1.4,0.5,0.1,0.0,0.0
370,Chimezie Metu,SAC,48,34,26.0,1910860.0,4.9,66.0,58.9,23.7,74.0,3.0,0.6,0.3,0.3,0.0,0.0
371,Johnny Juzang,UTA,37,45,22.0,508891.0,4.8,18.0,33.7,23.8,50.0,2.2,0.4,0.2,0.2,0.0,0.0
372,Moses Moody,GSW,44,38,21.0,3740160.0,4.8,63.0,47.6,36.3,69.8,1.7,0.8,0.3,0.1,0.0,0.0
373,Danuel House Jr.,PHI,54,28,30.0,,4.8,56.0,47.2,33.6,75.0,1.7,0.8,0.3,0.2,0.0,0.0
